Location,Vacancy Name,Experience Required,Average Salary,Industry,Schedule,Experience,City,Population,Schedule Encoded
Ижевск,Помощник по дому,Нет опыта,47000.0,Администратор,Гибкий график,0,Ижевск,628100.0,3
Ижевск,Специалист по кадрам,От 3 до 6 лет,60000.0,Специалист по кадрам,Полный день,4,Ижевск,628100.0,1
Ижевск,Рабочий на оборонный завод,Нет опыта,142000.0,Разнорабочий,Вахтовый метод,0,Ижевск,628100.0,5
Ижевск,Санитарка-санитар (уборщица-уборщик),Нет опыта,24000.0,"Уборщица, уборщик",Полный день,0,Ижевск,628100.0,1
Ижевск,Бухгалтер на первичную документацию,От 1 года до 3 лет,60000.0,Бухгалтер,Полный день,2,Ижевск,628100.0,1
Ижевск,Заместитель главного инженера,От 1 года до 3 лет,87000.0,Другое,Полный день,2,Ижевск,628100.0,1
Ижевск,Техник/ без опыта,Нет опыта,70000.0,"Сервисный инженер, инженер-механик",Полный день,0,Ижевск,628100.0,1
Ижевск,Менеджер по работе с клиентами,От 1 года до 3 лет,82500.0,"Менеджер по продажам, менеджер по работе с клиентами",Полный день,2,Ижевск,628100.0,1
Ижевск,Бухгалтер по заработной плате,От 3 до 6 лет,60000.0,Бухгалтер,Полный день,4,Ижевск,628100.0,1
Ижевск,Менеджер оператор (по выписке документов),От 1 года до 3 лет,45000.0,"Менеджер по продажам, менеджер по работе с клиентами",Полный день,2,Ижевск,628100.0,1
Ижевск,Директор по производству,Более 6 лет,225000.0,Начальник производства,Полный день,7,Ижевск,628100.0,1
Ижевск,Менеджер по сопровождению продаж,Нет опыта,60000.0,Координатор отдела продаж,Полный день,0,Ижевск,628100.0,1
Ижевск,Помощник директора по техническим вопросам,От 3 до 6 лет,61500.0,Другое,Полный день,4,Ижевск,628100.0,1
Ижевск,Главный специалист-эксперт в отдел организации назначения и осуществления страховых выплат,Нет опыта,40000.0,Другое,Полный день,0,Ижевск,628100.0,1
Ижевск,Секретарь,От 1 года до 3 лет,40000.0,"Секретарь, помощник руководителя, ассистент",Полный день,2,Ижевск,628100.0,1
Ижевск,Юрист,От 1 года до 3 лет,70000.0,Юрист,Полный день,2,Ижевск,628100.0,1
Ижевск,Делопроизводитель учебного центра,Нет опыта,40000.0,Методист,Полный день,0,Ижевск,628100.0,1
Ижевск,Коммерческий директор,От 3 до 6 лет,187500.0,Коммерческий директор (CCO),Полный день,4,Ижевск,628100.0,1
Ижевск,Администратор (свидание на крыше),Нет опыта,52500.0,Администратор,Гибкий график,0,Ижевск,628100.0,3
Ижевск,Рабочий на военный завод,Нет опыта,145000.0,Разнорабочий,Вахтовый метод,0,Ижевск,628100.0,5
